Maskinvare | Minne | Internt lagringssystem (ofte RAM). Lagrer data midlertidig.
Sikkerhet | Offenltig Nokkel | En nokkel som kan deles med alle. Den er motstykket til den private nokkelen.
Sikkerhet | Nokkel | Se "Privat Nokkel" eller "Offentlig Nokkel"
Sikkerhet | Checksum | En verdi som blir lagd av en Hash-algoritme, den eneste maaten med aa faa samme verdi er ved aa ha samme data gaa igjennom hash-algoritmen. Kan brukes for aa se om data har blitt sikkerhetskopiert riktig (Ta checksum for og etter), eller for aa sjekke om data har blitt endret paa (NOE MER OGSaa)
Sikkerhet | Sikkerhetsmaal | LEGG INN FRA THERESE - LISTE OVER ALLE SIKKERHETSMaaLENE. Sikkerhetsmaal er egenskaper ved informasjonssikkerhet som vi onsker aa oppnaa eller tilby. Ordene beskriver paa en maate informasjonssikkerhet. Integritet, Konfidensialitet, Tilgjengelighet, Autentisering, Uavviselighet, Sporbarhet, Personvern (og Robusthet)
Sikkerhet | Integritet | Et sikkerhetsmaal. At informasjonen ikke blir endret utilsiktet eller av uvedkommende.
Sikkerhet | Konfidensialitet | Et sikkerhetsmaal. At informasjonen ikke blir kjent for uvedkommende.
Sikkerhet | Tilgjengelighet | Et sikkerhetsmaal. At informasjonen er tilgjengelig for autoriserte ved behov
Sikkerhet | Robusthet | *KANSKJE* Et sikkerhetsmaal. At organisasjonen og systemene er motstandsdyktige, og evner aa gjenopprette normaltilstand ved hendelser.
Sikkerhet | Autensitet | Et sikkerhetsmaal. Sorge for at alle parter er de som de utgir seg for aa vaere.
Sikkerhet | Uavviselighet | Et sikkerhetsmaal. Det skal ikke vaere mulig aa paastaa at man ikke har gjort noe man har gjort. Eks.: Undertegnet en kontrakt eller overfort penger.
Sikkerhet | Sporbarhet | Et sikkerhetsmaal. Etterprovbarhet, alle handlinger skal kunne spores tilbake til en entydig entitet. Alle som gjore noe skal kunne identifiseres, og sporene logges for senere bruk.
Sikkerhet | Personvern | (Privacy) EUs Personvernforordning stiller krav til hjemmel (lovlighet) av behandling og oppbevaring av informasjon som knyttes til "ekte"/fysiske personer. Det krever samtykke osv.
Sikkerhet | Tilgangskontroll | En sikkerhetstjeneste som skal sørge for at informasjon kun er tilgjengelig for de som har rettigheter til aa lese, eller endre den. Bestaar som regel av to ting: Autentisering og autorisasjon.
Nettverk | Lagdeling | Oppstykking av internettarkitekturen. Dette gjores for at man skal kunne bytte ut komponenter som tilbyr spesifikke tjeneser, uten aa maatte bytte hele systemet. Det gjor ogsaa at ikke alle komponentene i internettarkitekturentrenger aa ha stotte for funkjsonaliteten til alle lagene.
Nettverk | Tcp/Ip-Modellen | Bestaar av fem lag: Applikasjonslaget, Transportlaget, Nettverkslaget, Linklaget og det Fysiske laget.
Nettverk | Peer-To-Peer | Har likeverdige vertsmaksiner som samarbeider om aa levere en tjeneste, og de har et distribuert eierskap. Det kan bidra til aa unngaa at et selskap eller en statsmakt har kontroll over tjenesten.
Nettverk | Subnett | Nettverket hjemme. Naar det skal ut paa internett sendes det via ruteren. Subnettet bor ikke vaere for stort, da det kan fore til mye stoy og darlig ytelse paa nettverket. Protokoller som DHCP og ARP kommuniserer til alle via broadcast-trafikk
Nettverk | Nettverksprotokoll | En samling av regler som beskriver hvordan informasjon skal sendes og mottas
Nettverk | Nettverkstopologi | Hvordan datamaksiner er koblet sammen i nettverk; Stjernetopologi, Full mesh, Tretopologi, Fat-tree, Ring, Torus
Nettverk | LAN | Local-area network - Lokalt nettverk, I en byggning
Nettverk | WAN | Wide-area network - Bestaar gjerne av flere LAN koblet sammen (kontorer i forskjellige byer)
Nettverk | MAN | Metropolitan-area network - Flere LAN koblet sammen i et begrenset omraade, kvartal, by...
Nettverk | SAN | Storage-area network - Hovedfunksjonen er aa dele data mellom lagringsenheter
Nettverk | Applikasjonslaget | Lag 5, med tjenester for applikasjoner, Nettlesere (www), Epost, filoverforing. Her kan det vaere en header, men det bestemmes av
Nettverk | Transportlaget | Lag 4, bryr seg bare om ende-til-ende kommunikasjon. Benytter TCP (HTTP, E-post, Filoverforing) og UDP (Stromming av video og lyd). Legger paa en header paa pakken som sendes
Nettverk | Nettverkslaget | Lag 3, Kobler systemene sammen ende-til-ende, og ruter informasjonen. Her vet vi fortsatt hvor informasjonen skal. Statisk eller dynamisk ruting (?). Den mest brukte protokollen: IP (IPv4 (32-bit), men oppgraderes til IPv6 (128-bit adresser)
Nettverk | Linklaget | Paalitelig overforing mellom to enheter. En switch som sender dataen videre til neste punkt, vet ikke hvor den skal ende. Kan ha enkel flytkontroll dersom det er en rask sender og en treg mottaker. Medium Access Control (MAC). Vanligst med Ethernet og WiFi. Har en 6-byte adresse som ofte er lagret i nettverkskortet.
Nettverk | Fysiske laget | Signalrepresentasjonen av bits. Sorger for at 1 blir oppfattet som 1, og 0 som 0
Nettverk | TCP | Brukes til sending av data. Man har ett oppsett av forbindelse (3-way handshake). Garanterer at pakker leveres, og at de kommer i rikitg rekkefolge. Paalitelighet, dersom det ikke sendes en kvittering paa mottatt pakke, sendes pakken paa nytt. Har ogsaa flytkontroll, og metningskontroll. Kan ha persistent eller ikke-persistent forbindelse.
Nettverk | Persistent forbindelse | HTTP bruker en TCP forbindelse med persistent kobling, det vil si at den samme forbindelsen blir brukt til flere foresporsler. Dette sikrer at slow-start fungerer slik den skal. Man slipper aa opprette en ny forbindelse dersom man skal ha mye data, da kan man bare be om, og faa data, kontinuelig
Nettverk | Slow-Start | Brukes av TCP for aa sikre metningskontroll, informasjonen sendes tregt i starten, og saa raskere, frem til informasjonen kommer i riktig tempo
Nettverk | UDP | Tilkoblingslos forbindelse (Ingen formell oppsett av forbindelse), garanterer ikke at data kommer frem, men har en "best-effort"-levering av data. Dette brukes til video og lyd, der det ikke er farlig om det blir smaa feil. Har tjenester som multiplexing over IP-adresser (porter) og sjekksum
Nettverk | MAC | MAC-adresse er en viktig del av linklaget. Den brukes til aa kommunsiere mellom maskiner paa samme nett. ARP-protokollen kobler sammen IP-adresser fra lag 3, med MAC-adresser fra lag 2. MAC adressen er en unik 6-byte adresse (48 bit). (IP: 255.255.255.25 gir MAC: FF:FF:FF:FF:FF:FF (?))
Nettverk | Switch | Kobler sammen flere enheter paa et datanettverk, dette skjer paa linklaget, lar enheter paa samme subnett kommnisere med hverandre. Vet kun det neste steget av hvor informasjonen skal
Nettverk | Svitsj | Kobler sammen flere enheter paa et datanettverk, dette skjer paa linklaget, lar enheter paa samme subnett kommnisere med hverandre. Vet kun det neste steget av hvor informasjonen skal
Nettverk | Router | Nettverkskomponent som lar ulike nettverk kommunisere sammen.
Nettverk | Lag | Nettverkslagene, se TCP/IP-modellen
Nettverk | Sjekksum | Finner eventuelle feil i pakkene som har blitt levert, ser at innhold skal være sendt som 10, er 10
Nettverk | Multiplexng | Klienten sender flere ettersporsler samtidig, og tjeneren svarer paa disse ettersporslene i valgfri rekkefolge.
